id,Position,Player,Team,Consensus,Sleeper,ESPN,FantasyPros
114,TE,Brenton Strange,JAX,156.8,103.7,210.0,156.7
115,RB,Woody Marks,HOU,112.8,105.4,111.0,121.9
117,TE,Travis Kelce,KC,113.5,106.1,127.0,107.3
118,QB,Brock Purdy,SF,99.8,106.2,99.0,94.3
119,WR,Michael Pittman Jr.,PIT,100.5,107.5,88.0,106.0
120,TE,Kenyon Sadiq,NYJ,158.6,108.5,—,208.7
121,RB,Tyrone Tracy Jr.,NYG,162.5,109.5,222.0,156.0
122,WR,Quentin Johnston,LAC,101.9,110.1,107.0,88.5
123,WR,Josh Downs,IND,122.0,111.1,141.0,114.0
124,RB,Emmett Johnson,KC,148.2,112.5,—,184.0
125,TE,Isaiah Likely,NYG,125.1,113.2,145.0,117.0
126,RB,Trey Benson,ARI,192.6,114.3,—,270.9
127,WR,Stefon Diggs,FA,127.8,115.5,155.0,112.9
128,WR,Romeo Doubs,NE,134.8,116.6,159.0,128.9
129,RB,Jonah Coleman,DEN,133.4,117.5,—,149.2
130,QB,Matthew Stafford,LAR,107.8,117.6,102.0,103.8
131,WR,Jayden Reed,GB,155.6,119.3,176.0,171.4
133,WR,Khalil Shakir,BUF,134.6,120.2,140.0,143.5
134,QB,Bo Nix,DEN,105.7,121.1,97.0,99.1
135,WR,Xavier Worthy,KC,117.0,121.5,108.0,121.4
136,RB,Tyjae Spears,TEN,153.8,122.1,181.0,158.3
137,WR,Jauan Jennings,MIN,193.4,123.2,287.0,170.0
138,RB,Rachaad White,WSH,129.6,124.8,150.0,114.1
139,TE,AJ Barner,SEA,211.1,125.9,312.0,195.5
140,WR,Jayden Higgins,HOU,126.3,126.3,—,—
141,QB,Jordan Love,GB,185.0,127.7,207.0,220.3
143,RB,Dylan Sampson,CLE,130.1,129.3,—,130.9
145,TE,David Njoku,LAC,262.4,130.6,412.0,244.6
146,WR,Jalen Coker,CAR,143.8,131.8,163.0,136.8
