id,Position,Player,Team,starred,do_not_draft
131,WR,Jayden Reed,GB,0,0
133,WR,Khalil Shakir,BUF,0,0
134,QB,Bo Nix,DEN,0,0
135,WR,Xavier Worthy,KC,0,0
136,RB,Tyjae Spears,TEN,0,0
137,WR,Jauan Jennings,MIN,0,0
138,RB,Rachaad White,WSH,0,0
139,TE,AJ Barner,SEA,0,0
140,WR,Jayden Higgins,HOU,0,0
141,QB,Jordan Love,GB,0,0
143,RB,Dylan Sampson,CLE,0,0
145,TE,David Njoku,LAC,0,0
146,WR,Jalen Coker,CAR,0,0
147,QB,Jared Goff,DET,0,0
148,RB,Braelon Allen,NYJ,0,0
150,TE,Chig Okonkwo,WSH,0,0
151,TE,Mason Taylor,NYJ,0,0
152,WR,Deebo Samuel,FA,0,0
153,RB,Mike Washington Jr.,LV,0,0
154,TE,Eli Stowers,PHI,0,0
155,QB,Malik Willis,MIA,0,0
156,RB,Kimani Vidal,LAC,0,0
157,TE,Terrance Ferguson,LAR,0,0
158,RB,Chris Rodriguez Jr.,JAX,0,0
159,QB,Baker Mayfield,TB,0,0
160,RB,Jonathon Brooks,CAR,1,0
162,WR,Tyreek Hill,FA,0,0
163,RB,Tank Bigsby,PHI,0,0
164,QB,Tyler Shough,NO,0,0
165,TE,Cade Otton,TB,0,0
166,RB,Keaton Mitchell,LAC,0,0
167,WR,Omar Cooper Jr.,NYJ,0,0
168,RB,Isiah Pacheco,DET,0,0
170,WR,Denzel Boston,CLE,0,0
171,RB,Sean Tucker,TB,0,0
172,QB,Kyler Murray,MIN,0,0
173,WR,Antonio Williams,WSH,0,0
174,RB,Kaytron Allen,WSH,0,0
175,WR,Travis Hunter,JAX,0,0
176,WR,Matthew Golden,GB,0,0
177,WR,Jerry Jeudy,CLE,0,0
178,RB,Emanuel Wilson,SEA,0,0
179,WR,Rashid Shaheed,SEA,0,0
180,WR,Adonai Mitchell,NYJ,0,0
182,WR,Kayshon Boutte,NE,0,0
183,WR,Jalen McMillan,TB,0,0
184,QB,C.J. Stroud,HOU,0,0
185,RB,Nicholas Singleton,TEN,0,0
186,RB,Ray Davis,BUF,0,0
187,WR,Ja'Kobi Lane,BAL,0,0
188,QB,Sam Darnold,SEA,0,0
189,RB,Devin Neal,NO,0,0
191,WR,Troy Franklin,DEN,0,0
192,WR,Pat Bryant,DEN,0,0
194,RB,Jaylen Wright,MIA,0,0
195,WR,Chimere Dike,TEN,0,0
196,RB,Demond Claiborne,MIN,0,0
197,WR,Brandon Aiyuk,SF,0,0
199,WR,Tre Harris,LAC,0,0
200,RB,Kendre Miller,NO,0,0
202,RB,Brashard Smith,KC,0,0
203,WR,Isaac TeSlaa,DET,0,0
204,WR,Elic Ayomanor,TEN,0,0
206,WR,Tank Dell,HOU,0,0
208,QB,Fernando Mendoza,LV,0,0
209,RB,Jaydon Blue,DAL,0,0
211,WR,Jaylin Noel,HOU,0,0
212,QB,Cameron Ward,TEN,0,0
213,RB,Jarquez Hunter,LAR,0,0
215,WR,Germie Bernard,PIT,0,0
216,WR,Darnell Mooney,NYG,0,0
218,WR,Ted Hurst,TB,0,0
219,QB,Daniel Jones,IND,0,0
220,WR,Jalen Nailor,LV,0,0
221,QB,Bryce Young,CAR,0,0
222,WR,Ryan Flournoy,DAL,0,0
223,WR,Tory Horton,SEA,0,0
224,WR,Elijah Sarratt,BAL,0,0
225,WR,Chris Bell,MIA,0,0
226,WR,Rashod Bateman,BAL,0,0
228,WR,Keenan Allen,FA,0,0
229,WR,Keon Coleman,BUF,0,0
230,WR,Cooper Kupp,SEA,0,0
232,WR,Devaughn Vele,NO,0,0
234,WR,Malachi Fields,NYG,0,0
235,TE,Max Klare,LAR,0,0
236,TE,Michael Trigg,DAL,0,0
237,WR,De'Zhaun Stribling,SF,0,0
238,QB,J.J. McCarthy,MIN,0,0
239,QB,Shedeur Sanders,CLE,0,0
240,QB,Michael Penix Jr.,ATL,0,0
241,QB,Tua Tagovailoa,ATL,0,0
242,QB,Ty Simpson,LAR,0,0
243,WR,Ricky Pearsall,SF,0,0
244,WR,Chris Brazzell II,CAR,0,0
245,QB,Justin Fields,KC,0,0
246,WR,Treylon Burks,WSH,0,0
248,TE,Darnell Washington,PIT,0,0
249,WR,Xavier Hutchinson,HOU,0,0
250,WR,DeMario Douglas,NE,0,0
251,WR,Jordan Whittington,LAR,0,0
253,TE,Charlie Kolar,LAC,0,0
254,QB,Geno Smith,NYJ,0,0
255,RB,Isaac Guerendo,SF,0,0
257,TE,Josh Oliver,MIN,0,0
258,WR,Olamide Zaccheaus,ATL,0,0
259,RB,LeQuint Allen Jr.,JAX,0,0
260,WR,Konata Mumpfield,LAR,0,0
